iter	Passed	Remaining
0	2	1436
1	5	1374
2	8	1333
3	10	1328
4	13	1319
5	15	1304
6	18	1315
7	21	1307
8	24	1309
9	26	1307
10	29	1305
11	32	1312
12	35	1313
13	38	1329
14	41	1326
15	43	1323
16	46	1325
17	49	1328
18	52	1338
19	55	1342
20	59	1356
21	62	1357
22	65	1360
23	68	1360
24	71	1366
25	75	1370
26	78	1377
27	81	1376
28	84	1378
29	88	1382
30	91	1386
31	94	1386
32	98	1388
33	101	1389
34	104	1391
35	107	1389
36	111	1389
37	114	1392
38	117	1393
39	121	1393
40	124	1393
41	127	1393
42	131	1394
43	134	1396
44	138	1395
45	141	1395
46	144	1392
47	147	1391
48	151	1389
49	154	1390
50	157	1389
51	161	1389
52	164	1389
53	168	1390
54	171	1389
55	174	1387
56	178	1384
57	181	1381
58	184	1378
59	187	1375
60	190	1372
61	193	1369
62	196	1365
63	199	1362
64	203	1360
65	206	1357
66	209	1352
67	212	1350
68	215	1346
69	218	1343
70	221	1339
71	224	1336
72	228	1334
73	231	1330
74	234	1327
75	237	1323
76	240	1320
77	243	1316
78	246	1313
79	249	1310
80	252	1308
81	256	1306
82	259	1305
83	263	1304
84	266	1302
85	269	1299
86	273	1298
87	276	1296
88	280	1294
89	283	1291
90	287	1291
91	290	1288
92	293	1286
93	297	1283
94	300	1281
95	303	1278
96	307	1276
97	310	1273
98	313	1270
99	316	1267
100	319	1264
101	323	1260
102	326	1257
103	329	1254
104	332	1250
105	335	1248
106	338	1244
107	342	1241
108	345	1238
109	348	1234
110	351	1230
111	354	1228
112	357	1224
113	360	1221
114	363	1218
115	367	1215
116	370	1212
117	373	1208
118	376	1205
119	379	1201
120	382	1198
121	385	1195
122	389	1192
123	392	1190
124	395	1187
125	399	1184
126	402	1183
127	406	1180
128	409	1177
129	412	1173
130	415	1171
131	418	1167
132	422	1164
133	425	1161
134	428	1158
135	431	1155
136	434	1152
137	437	1148
138	441	1145
139	444	1142
140	447	1139
141	450	1136
142	453	1133
143	456	1129
144	460	1126
145	463	1122
146	466	1119
147	469	1116
148	472	1113
149	475	1110
150	478	1106
151	482	1103
152	485	1101
153	488	1097
154	491	1094
155	494	1091
156	497	1087
157	501	1084
158	504	1081
159	507	1078
160	510	1075
161	514	1072
162	517	1069
163	520	1066
164	523	1062
165	526	1059
166	529	1055
167	532	1052
168	535	1049
169	538	1045
170	541	1042
171	544	1038
172	547	1035
173	551	1032
174	554	1029
175	557	1026
176	560	1023
177	563	1020
178	566	1016
179	570	1013
180	573	1010
181	576	1007
182	579	1004
183	582	1000
184	585	997
185	589	994
186	592	990
187	595	987
188	598	984
189	601	981
190	604	977
191	607	974
192	610	970
193	613	967
194	616	964
195	619	961
196	622	958
197	625	954
198	628	951
199	632	948
200	635	944
201	638	941
202	641	939
203	644	935
204	648	932
205	651	929
206	654	926
207	658	923
208	661	920
209	664	917
210	667	913
211	670	910
212	673	907
213	676	904
214	679	900
215	682	897
216	685	894
217	688	890
218	691	887
219	695	884
220	698	881
221	701	879
222	705	876
223	708	873
224	711	869
225	714	866
226	717	863
227	721	860
228	724	857
229	727	854
230	730	851
231	734	847
232	737	844
233	740	841
234	743	838
235	746	834
236	749	832
237	752	828
238	756	826
239	759	822
240	763	820
241	766	816
242	769	813
243	772	810
244	775	806
245	778	803
246	781	800
247	784	797
248	787	793
249	790	790
250	794	787
251	797	784
252	800	781
253	804	778
254	807	775
255	810	772
256	813	769
257	816	765
258	819	762
259	822	759
260	825	756
261	829	753
262	832	749
263	835	746
264	838	743
265	841	740
266	844	737
267	847	733
268	851	730
269	854	727
270	857	724
271	860	721
272	863	718
273	866	714
274	869	711
275	872	708
276	876	705
277	879	702
278	882	698
279	885	696
280	888	692
281	892	689
282	895	686
283	898	683
284	901	680
285	905	677
286	908	674
287	911	671
288	914	667
289	917	664
290	920	661
291	924	658
292	927	655
293	931	652
294	934	649
295	938	646
296	941	643
297	945	640
298	948	637
299	951	634
300	955	631
301	958	628
302	961	624
303	964	621
304	967	618
305	971	615
306	974	612
307	977	609
308	980	606
309	984	603
310	987	599
311	990	596
312	993	593
313	996	590
314	1000	587
315	1003	584
316	1006	581
317	1010	578
318	1013	575
319	1017	572
320	1020	569
321	1024	566
322	1027	563
323	1031	560
324	1034	556
325	1037	553
326	1040	550
327	1044	547
328	1047	544
329	1050	541
330	1053	538
331	1057	534
332	1060	531
333	1063	528
334	1066	525
335	1069	522
336	1072	518
337	1076	515
338	1079	512
339	1082	509
340	1085	506
341	1088	502
342	1091	499
343	1094	496
344	1097	493
345	1100	490
346	1104	486
347	1107	483
348	1110	480
349	1113	477
350	1116	474
351	1120	471
352	1123	467
353	1127	464
354	1130	461
355	1133	458
356	1136	455
357	1139	452
358	1143	448
359	1146	445
360	1149	442
361	1152	439
362	1155	436
363	1158	432
364	1161	429
365	1164	426
366	1167	423
367	1170	419
368	1173	416
369	1176	413
370	1180	410
371	1182	407
372	1186	403
373	1189	400
374	1192	397
375	1195	394
376	1198	391
377	1201	387
378	1204	384
379	1207	381
380	1210	378
381	1214	375
382	1217	371
383	1220	368
384	1223	365
385	1226	362
386	1229	359
387	1233	356
388	1236	352
389	1239	349
390	1243	346
391	1246	343
392	1249	340
393	1252	336
394	1255	333
395	1258	330
396	1261	327
397	1264	324
398	1267	320
399	1270	317
400	1274	314
401	1277	311
402	1280	308
403	1283	305
404	1287	301
405	1290	298
406	1293	295
407	1296	292
408	1299	289
409	1303	286
410	1306	282
411	1309	279
412	1313	276
413	1316	273
414	1319	270
415	1322	267
416	1325	263
417	1329	260
418	1332	257
419	1335	254
420	1339	251
421	1342	248
422	1346	245
423	1349	241
424	1352	238
425	1355	235
426	1359	232
427	1362	229
428	1365	226
429	1368	222
430	1372	219
431	1375	216
432	1378	213
433	1381	210
434	1385	206
435	1388	203
436	1391	200
437	1394	197
438	1398	194
439	1401	191
440	1404	187
441	1407	184
442	1410	181
443	1413	178
444	1416	175
445	1420	171
446	1423	168
447	1426	165
448	1429	162
449	1432	159
450	1435	156
451	1439	152
452	1442	149
453	1445	146
454	1448	143
455	1451	140
456	1454	136
457	1457	133
458	1460	130
459	1463	127
460	1466	124
461	1469	120
462	1472	117
463	1476	114
464	1479	111
465	1482	108
466	1485	104
467	1488	101
468	1491	98
469	1494	95
470	1498	92
471	1501	89
472	1504	85
473	1508	82
474	1511	79
475	1514	76
476	1517	73
477	1521	70
478	1524	66
479	1528	63
480	1531	60
481	1534	57
482	1537	54
483	1540	50
484	1543	47
485	1547	44
486	1550	41
487	1553	38
488	1556	35
489	1560	31
490	1563	28
491	1566	25
492	1569	22
493	1572	19
494	1575	15
495	1579	12
496	1582	9
497	1585	6
498	1588	3
499	1592	0
